FID,SOLMUTUNNU,LYHYTTUNNU,SOLMUTYYPP,X,Y,PROJ_X,PROJ_Y,NIMI1,NAMN1,NIMI2,NAMN2,REI_VOIM,AIK_VOIM,VERKKO,PYSAKKITYY,X-koord.,Y-koord.
"1","1010101",H2997,P,"2552977","6673549","2552961","6673548",Yliopisto,Universitetet,Unioninkatu,Unionsgatan,"0","0","1","99",24.9511192300,60.1701407100
"2","1010102",H2007,P,"2553276","6673478","2553293","6673478",Ritarihuone,Riddarhuset,Mariankatu,Mariegatan,"0","0","1","04",24.9564860500,60.1694648100
"3","1010103",H2008,P,"2553291","6673679","2553279","6673678",Kirkkokatu,Kyrkogatan,Mariankatu 13,Mariegatan 13,"0","0","1","04",24.9568086500,60.1712666600
"4","1010104",H2009,P,"2553276","6673674","2553280","6673675",Kirkkokatu,Kyrkogatan,Mariankatu 12,Mariegatan 12,"0","0","1","04",24.9565371700,60.1712237400
"5","1010105",H2010,P,"2553277","6673825","2553268","6673824",Vironkatu,Estnäsgatan,Mariankatu 17,Mariegatan 17,"0","0","1","04",24.9565945600,60.1725787100
"6","1010106",H2011,P,"2553266","6673841","2553267","6673841",Vironkatu,Estnäsgatan,Mariankatu,Mariegatan,"0","0","1","04",24.9564006000,60.1727237300
"7","1010107",H2014,P,"2553283","6674001","2553283","6674004",Meritullinkatu,Sjötullsgatan,Liisankatu 8,Elisabetsgatan 8,"1","1","1","04",24.9567485500,60.1741573800
"8","1010108",H2013,P,"2553284","6674008","2553275","6674004",Meritullinkatu,Sjötullsgatan,Liisankatu 11,Elisabetsgatan 11,"1","1","1","04",24.9567683900,60.1742200700
"9","1010109",H2016,P,"2553502","6674010","2553501","6674018",Liisanpuistikko,Elisabetsskvären,Liisankatu,Elisabetsgatan,"1","1","1","01",24.9606958300,60.1742096300
"10","1010110",H2015,P,"2553474","6674027","2553475","6674016",Liisanpuistikko,Elisabetsskvären,Liisankatu 1,Elisabetsgatan 1,"1","1","1","04",24.9601959000,60.1743658400
"11","1010111",,P,"2553565","6674110","2553553","6674109",Pohjoisranta,Norra kajen,Pohjoisranta,Norra kajen,"0","0","1","99",24.9618569000,60.1750988200
"12","1010112",,P,"2553543","6674129","2553551","6674129",Pohjoisranta,Norra kajen,Pohjoisranta 22,Norra kajen 22,"0","0","1","99",24.9614655700,60.1752722000
"13","1010113",H0408,P,"2553263","6673464","2553265","6673444",Ritarihuone,Ritarihuone,Aleksanterinkatu,Alexandersgatan,"0","0","1","99",24.9562482600,60.1693408600
